program,sw_time
0.c,56684.38673019409
1.c,57256.69860839844
2.c,65261.42358779907
3.c,61078.16696166992
4.c,55866.55139923096
6.c,56278.09762954712
7.c,57110.29767990112
8.c,55757.06958770752
9.c,55582.32069015503
10.c,55744.67182159424
11.c,55658.90073776245
12.c,55939.42403793335
13.c,55950.76084136963
14.c,55480.778217315674
15.c,55012.01152801514
16.c,56630.76639175415
17.c,55607.65266418457
18.c,55748.164653778076
19.c,55809.98659133911
21.c,55697.834491729736
22.c,55933.427810668945
23.c,56514.859199523926
25.c,55834.57946777344
26.c,56627.76231765747
27.c,55816.662311553955
28.c,57154.23822402954
29.c,55699.992179870605
30.c,56145.91836929321
31.c,58592.355251312256
32.c,64613.5687828064
33.c,55753.82709503174
34.c,55354.976654052734
35.c,57253.384590148926
36.c,55708.57524871826
37.c,55795.2880859375
38.c,55731.22501373291
39.c,55759.85908508301
40.c,56376.850605010986
41.c,56764.74571228027
42.c,56111.955642700195
43.c,55619.56167221069
44.c,56610.238552093506
45.c,55664.682388305664
46.c,55725.00228881836
47.c,55358.3025932312
48.c,55799.62730407715
49.c,55652.0938873291
50.c,56421.35143280029
51.c,55418.217182159424
52.c,55588.25731277466
53.c,57080.85298538208
54.c,55609.941482543945
55.c,56266.47472381592
56.c,56212.50867843628
57.c,57101.88150405884
58.c,63503.00312042237
59.c,61679.00562286377
60.c,56660.09187698364
61.c,56374.90749359131
62.c,57334.39922332764
63.c,56175.68492889404
65.c,55797.39809036255
66.c,55824.30362701416
67.c,56245.80383300781
68.c,56346.237659454346
69.c,56692.01612472534
70.c,55720.26968002319
71.c,55754.64963912964
72.c,57641.9472694397
73.c,55758.512020111084
74.c,55955.75571060181
75.c,55831.313133239746
76.c,55956.876277923584
77.c,56597.888469696045
78.c,56674.07512664795
79.c,56090.79599380493
80.c,58532.24992752075
81.c,56423.1276512146
82.c,55487.728118896484
83.c,55976.41468048096
84.c,56292.45042800903
85.c,58514.606952667236
86.c,64406.94332122803
87.c,55857.26499557495
88.c,55636.31057739258
89.c,57286.083698272705
90.c,55992.55561828613
91.c,56067.2402381897
92.c,56179.070472717285
93.c,55472.755432128906
94.c,56091.84503555298
95.c,56868.43395233154
96.c,55784.7261428833
97.c,55928.69520187378
98.c,57084.34581756592
100.c,55890.33365249634
101.c,55883.52680206299
102.c,55892.77744293213
103.c,56195.62864303589
104.c,56940.603256225586
105.c,55954.30135726929
106.c,55721.60482406616
107.c,56251.77621841431
108.c,57196.14028930664
109.c,55984.19904708862
110.c,55662.8942489624
111.c,56547.629833221436
112.c,57768.845558166504
113.c,65562.14094161987
114.c,57332.587242126465
115.c,56384.70649719238
116.c,56029.88004684448
117.c,57269.50168609619
118.c,55936.02657318115
119.c,55880.45120239258
120.c,55934.21459197998
121.c,56471.76504135132
122.c,55997.89619445801
123.c,70618.67713928223
124.c,56137.51411437988
125.c,58183.4077835083
126.c,56232.05900192261
127.c,55976.47428512573
128.c,56064.80836868286
129.c,56075.51336288452
130.c,55828.726291656494
131.c,55631.51836395264
132.c,55862.30754852295
133.c,55967.140197753906
134.c,56974.79248046875
135.c,55587.732791900635
136.c,55713.748931884766
137.c,55746.23346328735
138.c,56630.754470825195
139.c,57668.5905456543
140.c,65043.73550415039
141.c,56091.0701751709
142.c,56282.222270965576
143.c,57025.09880065918
144.c,56017.70877838135
145.c,55837.4285697937
146.c,55661.39221191406
147.c,55875.43249130249
148.c,55977.23722457886
149.c,57077.980041503906
150.c,55955.99412918091
151.c,55893.79072189331
152.c,56981.20594024658
153.c,56095.34978866577
154.c,55503.60679626465
155.c,56054.61597442627
156.c,56141.44802093506
157.c,55731.284618377686
158.c,55900.83599090576
159.c,56653.96451950073
160.c,55871.53434753418
161.c,56826.35307312012
162.c,56128.07273864746
163.c,55684.64994430542
164.c,56533.88500213623
165.c,56967.67568588257
166.c,57455.94501495361
167.c,57421.2908744812
168.c,56192.44575500488
169.c,60928.1063079834
170.c,56093.56164932251
171.c,56119.38238143921
172.c,55964.93482589722
173.c,55985.212326049805
174.c,56461.262702941895
175.c,55971.41981124878
176.c,56494.79627609253
177.c,56689.81075286865
178.c,57090.35396575928
179.c,55413.77067565918
180.c,55855.76295852661
181.c,56023.71692657471
182.c,55971.82512283325
183.c,55873.990058898926
184.c,55590.14081954956
185.c,55732.96546936035
186.c,55738.675594329834
187.c,57095.00312805176
188.c,55848.681926727295
189.c,56092.119216918945
190.c,55857.70606994629
191.c,56255.69820404053
192.c,57445.91951370239
193.c,64952.2066116333
194.c,56182.56330490112
195.c,55681.0736656189
196.c,57064.91470336914
197.c,55931.91385269165
198.c,56206.75086975098
199.c,55731.88066482544
200.c,56182.825565338135
201.c,55913.53178024292
202.c,56060.83869934082
203.c,56397.52149581909
204.c,55704.58173751831
205.c,56857.359409332275
206.c,56122.21956253052
207.c,55929.17203903198
208.c,55629.27722930908
209.c,55761.49225234985
210.c,55957.15045928955
211.c,55913.01918029785
212.c,55574.54824447632
213.c,55670.79782485962
214.c,57116.031646728516
215.c,55688.84611129761
216.c,56078.481674194336
217.c,56458.00828933716
218.c,57029.91485595703
219.c,67561.63835525513
220.c,60451.16186141968
221.c,56412.05310821533
222.c,56955.623626708984
223.c,56599.605083465576
224.c,55965.66200256348
225.c,55635.32114028931
227.c,56238.04330825806
228.c,56472.086906433105
229.c,55983.24537277222
230.c,56206.321716308594
231.c,55424.606800079346
232.c,56853.95002365112
233.c,55901.06248855591
234.c,56473.07634353638
235.c,55616.36686325073
236.c,55736.55366897583
237.c,55787.25337982178
238.c,55640.8166885376
239.c,55795.38345336914
240.c,55997.2882270813
241.c,57700.61016082764
242.c,55835.61658859253
243.c,55727.42223739624
244.c,56150.41255950928
245.c,56292.70076751709
246.c,59624.528884887695
247.c,63704.800605773926
248.c,55890.97738265991
249.c,55930.26876449585
250.c,57221.174240112305
251.c,55913.519859313965
252.c,55711.55548095703
253.c,55860.71014404297
254.c,56043.66064071655
255.c,56199.514865875244
257.c,56823.05097579956
258.c,56734.94338989258
259.c,55972.12314605713
260.c,57068.86053085327
261.c,55952.298641204834
262.c,55796.170234680176
263.c,55695.67680358887
264.c,55602.455139160156
265.c,55640.971660614014
266.c,56919.36016082764
267.c,56395.792961120605
268.c,56170.04632949829
269.c,56823.086738586426
270.c,55647.6354598999
271.c,56061.99502944946
272.c,56168.84231567383
273.c,56952.40497589111
274.c,61819.99444961548
275.c,60087.13245391846
276.c,55723.64330291748
277.c,56396.38900756836
278.c,56093.49012374878
279.c,55722.58234024048
280.c,55751.43098831177
281.c,56587.24308013916
282.c,56432.461738586426
283.c,56112.55168914795
284.c,56206.95352554321
285.c,55478.7278175354
286.c,56936.09714508057
287.c,55819.14186477661
288.c,55568.40896606445
289.c,55578.30333709717
290.c,55737.61463165283
291.c,56185.829639434814
292.c,55843.90163421631
293.c,55718.31464767456
294.c,55806.100368499756
295.c,56626.689434051514
296.c,55538.880825042725
297.c,56174.349784851074
298.c,55635.75029373169
299.c,55942.04664230347
300.c,57007.20548629761
301.c,63226.27067565918
302.c,57999.1340637207
305.c,56106.97269439697
306.c,56704.16355133057
307.c,56394.875049591064
308.c,55789.51835632324
309.c,55668.42555999756
311.c,55900.74062347412
312.c,55957.090854644775
313.c,56184.68523025513
315.c,55774.521827697754
316.c,55455.49392700195
317.c,56922.054290771484
319.c,55599.141120910645
320.c,55503.98826599121
321.c,55488.20495605469
322.c,55705.94072341919
323.c,55915.51065444946
324.c,55574.90587234497
325.c,55490.4580116272
326.c,56059.67044830322
327.c,56695.41358947754
329.c,55578.11260223389
330.c,57231.28318786621
331.c,55948.543548583984
332.c,57127.80952453613
333.c,62780.225276947014
334.c,59359.002113342285
335.c,56881.630420684814
336.c,55854.618549346924
337.c,57154.7269821167
338.c,55876.25503540039
339.c,55733.96682739258
340.c,58364.93968963623
341.c,55959.296226501465
342.c,56013.63182067871
343.c,59315.89603424072
344.c,58165.56215286255
345.c,59473.490715026855
346.c,58554.00562286377
347.c,58261.63291931152
348.c,58452.510833740234
349.c,58342.73099899292
351.c,58583.46223831177
352.c,58121.94347381592
353.c,58012.259006500244
354.c,58123.35014343262
355.c,59184.12208557129
356.c,58501.49393081665
357.c,58250.486850738525
358.c,58392.9181098938
359.c,59332.06081390381
361.c,57362.7233505249
363.c,55931.74695968628
364.c,59536.36169433594
365.c,62613.03424835204
366.c,58537.38784790039
367.c,58242.5594329834
368.c,58228.17087173462
369.c,58249.93848800659
370.c,58690.595626831055
371.c,58827.340602874756
373.c,59996.604919433594
375.c,59800.18377304077
376.c,61156.654357910156
377.c,60011.82794570923
378.c,60051.38158798218
379.c,59933.17365646362
380.c,59903.24020385742
381.c,59727.07271575928
382.c,60015.666484832764
383.c,59782.207012176514
385.c,60950.41036605835
386.c,59910.33315658569
387.c,59922.40905761719
388.c,60027.81391143799
389.c,62158.6799621582
